[['new1-14_10.jpg.bmp', '1', 0.642]]
[['new1-15_10.jpg.bmp', '10', 0.7555]]
[['new1-21_10.jpg.bmp', '10', 0.7811]]
[['new1-28_10.jpg.bmp', '10', 0.5019]]
[['new1-30_10.jpg.bmp', '10', 0.9821]]
[['new1-31_10.jpg.bmp', '10', 0.9837]]
[['new1-33_10.jpg.bmp', '10', 0.873]]
[['new1-35_10.jpg.bmp', '1', 0.52]]
[['new1-44_10.jpg.bmp', '10', 0.9837]]
[['new1-51_10.jpg.bmp', '10', 0.8531]]
[['new1-56_10.jpg.bmp', '10', 0.8028]]
[['new1-59_10.jpg.bmp', '10', 0.997]]
[['new1-62_10.jpg.bmp', '10', 0.9478]]
[['new1-66_10.jpg.bmp', '10', 0.8835]]
[['new1-68_10.jpg.bmp', '10', 0.9485]]
[['new1-74_10.jpg.bmp', '10', 0.9925]]
[['new1-9_10.jpg.bmp', '10', 0.9029]]
[['new10-10_1.jpg.bmp', '1', 1.0]]
[['new10-37_1.jpg.bmp', '1', 0.996]]
[['new10-40_1.jpg.bmp', '1', 0.9843]]
[['new10-46_1.jpg.bmp', '1', 0.9996]]
[['new10-48_1.jpg.bmp', '1', 0.9999]]
[['new10-50_1.jpg.bmp', '1', 0.9797]]
[['new10-52_1.jpg.bmp', '1', 0.9998]]
[['new10-54_1.jpg.bmp', '1', 0.9997]]
[['new10-6_1.jpg.bmp', '1', 0.9998]]
[['new10-74_1.jpg.bmp', '1', 0.9892]]
[['new11-11_1.jpg.bmp', '1', 1.0]]
[['new11-12_1.jpg.bmp', '1', 0.9986]]
[['new11-15_1.jpg.bmp', '1', 0.9965]]
[['new11-19_1.jpg.bmp', '1', 0.9998]]
[['new11-22_1.jpg.bmp', '1', 0.9913]]
[['new11-27_1.jpg.bmp', '1', 0.9998]]
[['new11-2_1.jpg.bmp', '1', 0.9998]]
[['new11-30_1.jpg.bmp', '1', 0.9962]]
[['new11-32_1.jpg.bmp', '1', 0.9996]]
[['new11-36_1.jpg.bmp', '1', 0.9903]]
[['new11-41_1.jpg.bmp', '1', 1.0]]
[['new11-44_1.jpg.bmp', '1', 0.9992]]
[['new11-4_1.jpg.bmp', '1', 0.9987]]
[['new11-53_1.jpg.bmp', '1', 1.0]]
[['new11-57_1.jpg.bmp', '1', 0.9512]]
[['new11-58_1.jpg.bmp', '1', 0.9675]]
[['new11-61_1.jpg.bmp', '1', 1.0]]
[['new11-65_1.jpg.bmp', '1', 0.9991]]
[['new11-68_1.jpg.bmp', '1', 0.9993]]
[['new11-69_1.jpg.bmp', '1', 0.9998]]
[['new11-75_1.jpg.bmp', '1', 0.9999]]
[['new11-77_1.jpg.bmp', '1', 0.9622]]
[['new11-7_1.jpg.bmp', '1', 1.0]]
[['new12-17_1.jpg.bmp', '1', 0.9997]]
[['new12-26_1.jpg.bmp', '1', 0.9981]]
[['new12-27_1.jpg.bmp', '1', 0.9995]]
