[['new1-15_10.jpg.bmp', '14', 0.6517]]
[['new1-23_10.jpg.bmp', '10', 0.5513]]
[['new1-25_10.jpg.bmp', '10', 0.9937]]
[['new1-27_10.jpg.bmp', '10', 0.9124]]
[['new1-2_10.jpg.bmp', '10', 0.374]]
[['new1-32_10.jpg.bmp', '10', 0.9861]]
[['new1-33_10.jpg.bmp', '10', 0.9795]]
[['new1-39_10.jpg.bmp', '10', 0.9825]]
[['new1-48_10.jpg.bmp', '10', 0.9906]]
[['new1-50_10.jpg.bmp', '10', 0.8838]]
[['new1-56_10.jpg.bmp', '10', 0.3423]]
[['new1-59_10.jpg.bmp', '10', 0.7574]]
[['new1-5_10.jpg.bmp', '10', 0.6446]]
[['new1-70_10.jpg.bmp', '12', 0.5433]]
[['new1-77_10.jpg.bmp', '12', 0.4907]]
[['new1-8_10.jpg.bmp', '14', 0.9816]]
[['new10-15_1.jpg.bmp', '1', 0.9952]]
[['new10-21_1.jpg.bmp', '1', 0.9998]]
[['new10-23_1.jpg.bmp', '1', 0.9871]]
[['new10-28_1.jpg.bmp', '1', 0.9998]]
[['new10-2_1.jpg.bmp', '1', 1.0]]
[['new10-32_1.jpg.bmp', '1', 0.9281]]
[['new10-36_1.jpg.bmp', '1', 0.8143]]
[['new10-45_1.jpg.bmp', '1', 0.9995]]
[['new10-4_1.jpg.bmp', '1', 0.9944]]
[['new10-52_1.jpg.bmp', '1', 1.0]]
[['new10-55_1.jpg.bmp', '1', 0.9095]]
[['new10-57_1.jpg.bmp', '1', 0.8491]]
[['new10-59_1.jpg.bmp', '1', 0.9999]]
[['new10-62_1.jpg.bmp', '1', 0.9958]]
[['new10-69_1.jpg.bmp', '1', 0.997]]
[['new10-75_1.jpg.bmp', '1', 0.9965]]
[['new10-76_1.jpg.bmp', '1', 0.9932]]
[['new10-8_1.jpg.bmp', '1', 0.9811]]
[['new11-15_1.jpg.bmp', '1', 0.9996]]
[['new11-23_1.jpg.bmp', '1', 0.9996]]
[['new11-26_1.jpg.bmp', '1', 0.9998]]
[['new11-40_1.jpg.bmp', '1', 0.9999]]
[['new11-57_1.jpg.bmp', '1', 1.0]]
[['new12-11_1.jpg.bmp', '1', 1.0]]
[['new12-17_1.jpg.bmp', '1', 0.9996]]
[['new12-24_1.jpg.bmp', '1', 0.9997]]
[['new12-25_1.jpg.bmp', '1', 0.9993]]
[['new12-29_1.jpg.bmp', '1', 0.9997]]
[['new12-32_1.jpg.bmp', '1', 0.9999]]
[['new12-37_1.jpg.bmp', '1', 1.0]]
[['new12-3_1.jpg.bmp', '1', 1.0]]
[['new12-45_1.jpg.bmp', '1', 1.0]]
[['new12-47_1.jpg.bmp', '1', 1.0]]
[['new12-50_1.jpg.bmp', '1', 1.0]]
