[['new1-10_10.jpg.bmp', '10', 0.7209]]
[['new1-29_10.jpg.bmp', '10', 0.6721]]
[['new1-35_10.jpg.bmp', '10', 0.8094]]
[['new1-38_10.jpg.bmp', '10', 0.9885]]
[['new1-42_10.jpg.bmp', '10', 0.6721]]
[['new1-48_10.jpg.bmp', '10', 0.9759]]
[['new1-52_10.jpg.bmp', '10', 0.908]]
[['new1-58_10.jpg.bmp', '10', 0.9126]]
[['new1-69_10.jpg.bmp', '10', 0.9832]]
[['new1-74_10.jpg.bmp', '10', 0.955]]
[['new1-8_10.jpg.bmp', '10', 0.2876]]
[['new1-9_10.jpg.bmp', '10', 0.8047]]
[['new10-11_1.jpg.bmp', '1', 0.9997]]
[['new10-15_1.jpg.bmp', '1', 0.9998]]
[['new10-24_1.jpg.bmp', '1', 0.7389]]
[['new10-27_1.jpg.bmp', '1', 0.8163]]
[['new10-4_1.jpg.bmp', '1', 0.8142]]
[['new10-50_1.jpg.bmp', '1', 0.9894]]
[['new10-56_1.jpg.bmp', '1', 0.9856]]
[['new10-72_1.jpg.bmp', '1', 0.9999]]
[['new11-11_1.jpg.bmp', '1', 0.9998]]
[['new11-16_1.jpg.bmp', '1', 0.9998]]
[['new11-21_1.jpg.bmp', '1', 1.0]]
[['new11-23_1.jpg.bmp', '1', 0.9998]]
[['new11-25_1.jpg.bmp', '1', 0.9998]]
[['new11-28_1.jpg.bmp', '1', 0.9998]]
[['new11-31_1.jpg.bmp', '1', 0.9998]]
[['new11-38_1.jpg.bmp', '1', 0.9999]]
[['new11-45_1.jpg.bmp', '1', 1.0]]
[['new11-46_1.jpg.bmp', '1', 1.0]]
[['new11-47_1.jpg.bmp', '1', 1.0]]
[['new11-51_1.jpg.bmp', '1', 0.9999]]
[['new11-52_1.jpg.bmp', '1', 1.0]]
[['new11-60_1.jpg.bmp', '1', 1.0]]
[['new11-75_1.jpg.bmp', '1', 1.0]]
[['new11-7_1.jpg.bmp', '1', 0.9999]]
[['new12-11_1.jpg.bmp', '1', 1.0]]
[['new12-12_1.jpg.bmp', '1', 1.0]]
[['new12-14_1.jpg.bmp', '1', 0.9998]]
[['new12-17_1.jpg.bmp', '1', 0.9762]]
[['new12-20_1.jpg.bmp', '1', 0.9994]]
[['new12-32_1.jpg.bmp', '1', 0.9996]]
[['new12-43_1.jpg.bmp', '1', 0.9999]]
[['new12-45_1.jpg.bmp', '1', 0.9998]]
[['new12-52_1.jpg.bmp', '1', 0.9998]]
[['new12-5_1.jpg.bmp', '1', 0.9997]]
[['new12-61_1.jpg.bmp', '1', 0.9998]]
[['new12-62_1.jpg.bmp', '1', 1.0]]
[['new12-63_1.jpg.bmp', '1', 0.9999]]
[['new12-69_1.jpg.bmp', '1', 1.0]]
[['new12-73_1.jpg.bmp', '1', 1.0]]
[['new12-77_1.jpg.bmp', '1', 0.9995]]
[['new13-10_1.jpg.bmp', '1', 0.9998]]
[['new13-14_1.jpg.bmp', '1', 0.9998]]
[['new13-17_1.jpg.bmp', '1', 0.9977]]
[['new13-26_1.jpg.bmp', '1', 0.9991]]
[['new13-30_1.jpg.bmp', '1', 1.0]]
[['new13-34_1.jpg.bmp', '1', 1.0]]
[['new13-35_1.jpg.bmp', '1', 0.9998]]
[['new13-40_1.jpg.bmp', '1', 0.9968]]
[['new13-41_1.jpg.bmp', '1', 0.9941]]
[['new13-43_1.jpg.bmp', '1', 1.0]]
[['new13-48_1.jpg.bmp', '1', 0.9994]]
[['new13-49_1.jpg.bmp', '1', 0.9996]]
[['new13-58_1.jpg.bmp', '1', 0.9999]]
[['new13-59_1.jpg.bmp', '1', 1.0]]
[['new13-62_1.jpg.bmp', '1', 0.9999]]
