[['new1-15_10.jpg.bmp', '10', 0.5092]]
[['new1-23_10.jpg.bmp', '10', 0.9029]]
[['new1-25_10.jpg.bmp', '10', 0.971]]
[['new1-27_10.jpg.bmp', '10', 0.9802]]
[['new1-2_10.jpg.bmp', '10', 0.9538]]
[['new1-32_10.jpg.bmp', '10', 0.9975]]
[['new1-33_10.jpg.bmp', '10', 0.9955]]
[['new1-39_10.jpg.bmp', '10', 0.9797]]
[['new1-48_10.jpg.bmp', '10', 0.9483]]
[['new1-50_10.jpg.bmp', '10', 0.7618]]
[['new1-56_10.jpg.bmp', '10', 0.9776]]
[['new1-59_10.jpg.bmp', '10', 0.6751]]
[['new1-5_10.jpg.bmp', '10', 0.8464]]
[['new1-70_10.jpg.bmp', '10', 0.5792]]
[['new1-77_10.jpg.bmp', '10', 0.6342]]
[['new1-8_10.jpg.bmp', '10', 0.5693]]
[['new10-15_1.jpg.bmp', '1', 0.9993]]
[['new10-21_1.jpg.bmp', '1', 0.9998]]
[['new10-23_1.jpg.bmp', '1', 0.7497]]
[['new10-28_1.jpg.bmp', '1', 0.9074]]
[['new10-2_1.jpg.bmp', '1', 0.9588]]
[['new10-32_1.jpg.bmp', '1', 0.9972]]
[['new10-36_1.jpg.bmp', '1', 0.9856]]
[['new10-45_1.jpg.bmp', '1', 0.9999]]
[['new10-4_1.jpg.bmp', '1', 0.994]]
[['new10-52_1.jpg.bmp', '1', 0.915]]
[['new10-55_1.jpg.bmp', '1', 0.9986]]
[['new10-57_1.jpg.bmp', '1', 0.9126]]
[['new10-59_1.jpg.bmp', '1', 0.8776]]
[['new10-62_1.jpg.bmp', '1', 0.9994]]
[['new10-69_1.jpg.bmp', '1', 0.9856]]
[['new10-75_1.jpg.bmp', '1', 0.9893]]
[['new10-76_1.jpg.bmp', '1', 0.9884]]
[['new10-8_1.jpg.bmp', '1', 0.9715]]
[['new11-15_1.jpg.bmp', '1', 1.0]]
[['new11-23_1.jpg.bmp', '1', 1.0]]
[['new11-26_1.jpg.bmp', '1', 0.9998]]
[['new11-40_1.jpg.bmp', '1', 1.0]]
[['new11-57_1.jpg.bmp', '1', 1.0]]
[['new12-11_1.jpg.bmp', '1', 0.9999]]
[['new12-17_1.jpg.bmp', '1', 0.9997]]
[['new12-24_1.jpg.bmp', '1', 1.0]]
[['new12-25_1.jpg.bmp', '1', 0.9998]]
[['new12-29_1.jpg.bmp', '1', 1.0]]
[['new12-32_1.jpg.bmp', '1', 0.9999]]
[['new12-37_1.jpg.bmp', '1', 1.0]]
[['new12-3_1.jpg.bmp', '1', 0.9999]]
[['new12-45_1.jpg.bmp', '1', 0.9999]]
[['new12-47_1.jpg.bmp', '1', 0.9998]]
[['new12-50_1.jpg.bmp', '1', 0.9999]]
[['new12-54_1.jpg.bmp', '1', 0.9999]]
[['new12-56_1.jpg.bmp', '1', 0.9999]]
[['new12-5_1.jpg.bmp', '1', 1.0]]
[['new12-63_1.jpg.bmp', '1', 1.0]]
[['new12-65_1.jpg.bmp', '1', 0.9999]]
[['new12-6_1.jpg.bmp', '1', 0.9999]]
[['new12-72_1.jpg.bmp', '1', 0.9999]]
[['new12-74_1.jpg.bmp', '1', 0.9998]]
[['new12-75_1.jpg.bmp', '1', 0.9999]]
[['new13-10_1.jpg.bmp', '1', 1.0]]
[['new13-21_1.jpg.bmp', '1', 0.9988]]
[['new13-23_1.jpg.bmp', '1', 1.0]]
[['new13-24_1.jpg.bmp', '1', 1.0]]
[['new13-28_1.jpg.bmp', '1', 1.0]]
[['new13-2_1.jpg.bmp', '1', 1.0]]
[['new13-33_1.jpg.bmp', '1', 0.9998]]
[['new13-34_1.jpg.bmp', '1', 1.0]]
[['new13-37_1.jpg.bmp', '1', 1.0]]
[['new13-40_1.jpg.bmp', '1', 0.9998]]
[['new13-43_1.jpg.bmp', '1', 0.9956]]
[['new13-44_1.jpg.bmp', '1', 0.9942]]
[['new13-64_1.jpg.bmp', '1', 1.0]]
[['new13-69_1.jpg.bmp', '1', 0.9999]]
[['new13-8_1.jpg.bmp', '1', 0.9999]]
[['new14-10_2.jpg.bmp', '1', 0.427]]
[['new14-14_2.jpg.bmp', '1', 0.5675]]
[['new14-17_2.jpg.bmp', '2', 0.4099]]
[['new14-20_2.jpg.bmp', '2', 0.5141]]
[['new14-29_2.jpg.bmp', '1', 0.524]]
[['new14-2_2.jpg.bmp', '1', 0.4969]]
[['new14-35_2.jpg.bmp', '1', 0.464]]
[['new14-54_2.jpg.bmp', '1', 0.3821]]
[['new14-59_2.jpg.bmp', '1', 0.4279]]
[['new14-63_2.jpg.bmp', '1', 0.5062]]
[['new14-64_2.jpg.bmp', '1', 0.4987]]
[['new14-72_2.jpg.bmp', '2', 0.4226]]
[['new19-11_4.jpg.bmp', '4', 0.9999]]
[['new19-32_4.jpg.bmp', '4', 0.9395]]
[['new19-34_4.jpg.bmp', '4', 0.8333]]
[['new19-36_4.jpg.bmp', '4', 0.9996]]
[['new19-38_4.jpg.bmp', '4', 0.9986]]
[['new19-39_4.jpg.bmp', '4', 0.9912]]
[['new19-40_4.jpg.bmp', '4', 0.9984]]
[['new19-41_4.jpg.bmp', '4', 0.8518]]
[['new19-42_4.jpg.bmp', '4', 0.9943]]
[['new19-49_4.jpg.bmp', '4', 0.9993]]
